index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1,624.282,453.637,767.218,2.06188e+06,4661857872,99918181685,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4,600.392,246.853,580.773,3.5683e+06,1211247112,17441356158,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8,603.33,190.078,495.264,4.53317e+06,628388456,7321612801,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,16,587.911,151.438,406.007,5.65308e+06,333207944,3178642094,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,32,620.211,123.095,349.476,6.86184e+06,188063448,1414212095,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,64,638.242,107.05,329.18,7.73619e+06,116545728,649948745,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,128,666.04,97.41,336.134,8.24522e+06,81660664,299759290,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,256,681.488,80.1922,327.338,9.53228e+06,65709496,147336205,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,512,718.573,68.5413,319.017,1.0685e+07,56065936,75011005,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1024,766.019,46.2305,318.092,1.36209e+07,51839016,37875033,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,2048,819.896,40.2202,306.594,1.49572e+07,49275224,19167779,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,4096,894.83,43.553,338.024,1.36986e+07,49712952,19258590,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,8192,965.011,35.1597,310.828,1.59422e+07,47771752,12449776,BinarySearch,./data/wiki_ts_200M_uint64
BTree,32,924.904,405.053,570.179,2.37211e+06,197201072,116079486,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1,1158.56,778.613,864.968,1.27025e+06,3917346432,3790580030,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4,1037.35,616.523,713.146,1.59697e+06,1065944352,806058568,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16,926.564,457.369,614.279,2.11389e+06,326448096,133141927,BinarySearch,./data/wiki_ts_200M_uint64
BTree,64,890.332,298.074,511.812,3.1304e+06,129837712,27404683,BinarySearch,./data/wiki_ts_200M_uint64
BTree,128,898.205,233.163,485.56,3.86993e+06,94152728,13194209,BinarySearch,./data/wiki_ts_200M_uint64
BTree,512,865.438,129.553,462.7,6.13995e+06,64782328,3243338,BinarySearch,./data/wiki_ts_200M_uint64
BTree,1024,885.406,110.057,449.602,6.94388e+06,59476224,1448099,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4096,988.31,70.3587,420.121,9.49352e+06,55433480,337035,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16384,1121.01,55.0463,421.937,1.09009e+07,54461864,84974,BinarySearch,./data/wiki_ts_200M_uint64
BTree,65536,1271.09,43.3782,440.909,1.20292e+07,54171680,31875,BinarySearch,./data/wiki_ts_200M_uint64
BTree,262144,1397.26,30.9626,442.615,1.38643e+07,54105440,13965,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,16,1114.07,726.536,398.988,1.44138e+06,1469352504,44004729031,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4,1113.92,753.456,333.745,1.40551e+06,1474193000,47696871049,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8,1149.4,717.735,336.735,1.47138e+06,1470501000,43564017163,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,32,1124.92,828.804,390,1.27401e+06,1468954176,43006562633,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,64,1226.54,835.865,343.118,1.27131e+06,1468793072,43793692593,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,256,1245.89,885.396,346.949,1.20257e+06,1468666696,44742878448,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,1024,1386.04,996.617,356.595,1.07225e+06,1468624616,46305780023,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,2048,1699.24,1321.45,333.896,817865,1468605032,42119291807,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4096,1574.28,1182.95,318.644,911975,1468600752,41030821606,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8192,1683.58,1311.93,317.416,824760,1468599536,39866041699,BinarySearch,./data/wiki_ts_200M_uint64
